Date,AAPL.csv,AMZN.csv,FB.csv,TSLA.csv
2012-07-05,78.698715,227.059998,31.469998999999998,31.23
2012-07-06,78.17486600000001,225.05000299999998,31.73,30.99
2012-07-09,79.208366,225.05000299999998,32.169998,31.49
2012-07-10,78.47551700000001,219.5,31.469998999999998,31.27
2012-07-11,77.98779300000001,218.36999500000002,30.969998999999998,31.51
2012-07-12,77.274277,215.36000099999998,30.809998999999998,32.700001
2012-07-13,78.05746500000001,218.38999900000002,30.719998999999998,34.25
2012-07-16,78.307785,216.00999500000003,28.25,35.959998999999996
2012-07-17,78.31163000000001,216.92999300000002,28.09,33.349998
2012-07-18,78.223915,217.47000099999997,29.110001,32.150002
2012-07-19,79.263878,226.169998,29.0,32.27
2012-07-20,77.971016,228.289993,28.76,31.790001
2012-07-23,77.910362,226.00999500000003,28.75,30.66
2012-07-24,77.534904,223.039993,28.450001,29.84
2012-07-25,74.186653,217.05000299999998,29.34,28.950001
2012-07-26,74.175034,220.00999500000003,26.85,28.129998999999998
2012-07-27,75.501434,237.32000699999998,23.709999,29.51
2012-07-30,76.77493299999999,236.08999599999999,23.15,27.35
2012-07-31,78.804535,233.30000299999998,21.709999,27.42
2012-08-01,78.294853,232.08999599999999,20.879998999999998,26.25
2012-08-02,78.421318,230.809998,20.040001,26.1
2012-08-03,79.441917,234.97000099999997,21.09,27.27
2012-08-06,80.32576,233.99000499999997,21.92,28.27
2012-08-07,80.114159,236.559998,20.719998999999998,30.25
2012-08-08,79.97868299999999,234.38000499999998,20.719998999999998,29.09
2012-08-09,80.434799,234.059998,21.01,29.41
2012-08-10,80.56049300000001,232.75,21.809998999999998,29.940001000000002
2012-08-13,81.636009,232.440002,21.6,31.17
2012-08-14,81.855003,233.190002,20.379998999999998,29.42
2012-08-15,81.74356800000001,237.419998,21.200001,29.4
2012-08-16,82.45755799999999,241.55000299999998,19.870001000000002,30.299999
2012-08-17,83.98271899999999,241.169998,19.049999,30.01
2012-08-20,86.190788,240.350006,20.01,29.51
2012-08-21,85.01289399999999,239.44999700000002,19.16,29.110001
2012-08-22,86.672821,243.100006,19.440001000000002,29.950001
2012-08-23,85.864235,241.19999700000002,19.440001000000002,30.73
2012-08-24,85.940689,245.74000499999997,19.41,29.5
2012-08-27,87.555267,243.919998,19.15,28.32
2012-08-28,87.441231,246.11000099999998,19.34,28.690001000000002
2012-08-29,87.268898,247.11999500000002,19.1,28.41
2012-08-30,86.02490999999999,246.22000099999997,19.09,28.41
2012-08-31,86.202446,248.270004,18.059998999999998,28.52
2012-09-04,87.463264,247.88000499999998,17.73,28.139999
2012-09-05,86.84906,246.22000099999997,18.58,27.940001000000002
2012-09-06,87.631737,251.38000499999998,18.959999,28.549999
2012-09-07,88.172066,259.140015,18.98,29.35
2012-09-10,85.87848699999999,257.089996,18.809998999999998,27.370001000000002
2012-09-11,85.599899,255.669998,19.43,27.799999
2012-09-12,86.792038,255.63000499999998,20.93,28.280001000000002
2012-09-13,88.501221,260.23999,20.709999,29.48
2012-09-14,89.576729,261.269989,22.0,30.389999
2012-09-17,90.678177,258.0,21.52,32.540001000000004
2012-09-18,90.954178,258.75,21.870001000000002,31.34
2012-09-19,90.978806,261.679993,23.290001,31.049999
2012-09-20,90.538239,260.809998,22.59,30.9
2012-09-21,90.718315,257.47000099999997,22.860001,30.02
2012-09-24,89.513222,254.80000299999998,20.790001,30.66
2012-09-25,87.27795400000001,252.460007,20.280001000000002,27.66
2012-09-26,86.194664,249.669998,20.620001000000002,27.540001
2012-09-27,88.28609499999999,256.589996,20.32,28.49
2012-09-28,86.443481,254.32000699999998,21.66,29.280001000000002
2012-10-01,85.444389,252.00999500000003,21.99,29.16
2012-10-02,85.69319899999999,250.600006,22.27,29.799999
2012-10-03,87.00715600000001,255.919998,21.83,29.299999
2012-10-04,86.40459399999999,260.47000099999997,21.950001,29.4
2012-10-05,84.56324000000001,258.51001,20.91,28.889999
2012-10-08,82.694695,259.059998,20.4,29.25
2012-10-09,82.39404300000001,250.960007,20.23,28.370001000000002
2012-10-10,83.049736,244.99000499999997,19.639999,28.4
2012-10-11,81.38979300000001,244.22000099999997,19.75,28.32
2012-10-12,81.598427,242.36000099999998,19.52,27.639999
2012-10-15,82.25282299999999,244.17999300000002,19.52,27.33
2012-10-16,84.200417,243.940002,19.48,28.059998999999998
2012-10-17,83.52918199999999,247.49000499999997,19.879998999999998,28.82
2012-10-18,81.97811899999999,244.850006,18.98,28.040001
2012-10-19,79.023666,240.0,19.0,27.74
2012-10-22,82.158211,233.77999900000003,19.32,27.85
2012-10-23,79.47976700000001,234.309998,19.5,28.389999
2012-10-24,79.929436,228.49000499999997,23.23,27.42
2012-10-25,78.98477199999999,222.919998,22.559998999999998,27.52
2012-10-26,78.266899,238.24000499999997,21.940001000000002,27.379998999999998
2012-10-31,77.142151,232.88999900000002,21.110001,28.129998999999998
2012-11-01,77.300232,232.13999900000002,21.209999,29.25
2012-11-02,74.742294,232.419998,21.18,28.92
2012-11-05,75.755615,234.330002,21.25,31.5
2012-11-06,75.526268,237.559998,21.17,31.15
2012-11-07,72.636436,232.059998,20.469998999999998,31.540001
2012-11-08,70.000412,227.350006,19.99,31.309998999999998
2012-11-09,71.21234100000001,226.309998,19.209999,30.32
2012-11-12,70.66171999999999,226.47000099999997,20.07,31.07
2012-11-13,70.67083000000001,226.600006,19.860001,31.610001
2012-11-14,69.88718399999999,222.94999700000002,22.360001,31.379998999999998
2012-11-15,68.421417,220.600006,22.17,30.82
